Hour,PV_cost,WT_cost,MT_cost,Grid_cost,PV_Pmax,WT_Pmax,Pload,,,,,,PV_CPU,WT_CPU,MT_CPU,
01H00,0,0.021,0.0823,0.033,0,64.04,52,,0,0.01561524,0.033333333,0.048948574,0,0.00032792,0.002743333,0.003071253
02H00,0,0.017,0.0823,0.027,0,64.32,50,,0,0.015547264,0.033333333,0.048880597,0,0.000264303,0.002743333,0.003007637
03H00,0,0.0125,0.0831,0.02,0,64.64,50,,0,0.015470297,0.033333333,0.04880363,0,0.000193379,0.00277,0.002963379
04H00,0,0.011,0.0831,0.017,0,64.68,51,,0,0.01546073,0.033333333,0.048794063,0,0.000170068,0.00277,0.002940068
05H00,0,0.051,0.0838,0.017,0,70.72,56,,0,0.014140271,0.033333333,0.047473605,0,0.000721154,0.002793333,0.003514487
06H00,0,0.085,0.0838,0.029,0,64.68,63,,0,0.01546073,0.033333333,0.048794063,0,0.001314162,0.002793333,0.004107495
07H00,0,0.091,0.0846,0.033,0,58.92,70,,0,0.016972166,0.033333333,0.050305499,0,0.001544467,0.00282,0.004364467
08H00,0.0646,0.11,0.0854,0.054,0.4,58.24,75,,2.5,0.01717033,0.033333333,2.550503663,0.1615,0.001888736,0.002846667,0.166235403
09H00,0.0654,0.14,0.0862,0.215,2.36,58.6,76,,0.423728814,0.017064846,0.033333333,0.474126993,0.027711864,0.002389078,0.002873333,0.032974276
10H00,0.0662,0.143,0.0862,0.572,7.92,52.64,80,,0.126262626,0.01899696,0.033333333,0.17859292,0.008358586,0.002716565,0.002873333,0.013948485
11H00,0.0669,0.15,0.0892,0.572,31,46.68,78,,0.032258065,0.021422451,0.033333333,0.087013849,0.002158065,0.003213368,0.002973333,0.008344765
12H00,0.0677,0.155,0.09,0.572,39.2,40.6,74,,0.025510204,0.024630542,0.033333333,0.083474079,0.001727041,0.003817734,0.003,0.008544775
13H00,0.0662,0.137,0.0885,0.215,42.6,46.68,72,,0.023474178,0.021422451,0.033333333,0.078229962,0.001553991,0.002934876,0.00295,0.007438866
14H00,0.0654,0.135,0.0885,0.572,38.8,40.6,72,,0.025773196,0.024630542,0.033333333,0.083737071,0.001685567,0.003325123,0.00295,0.00796069
15H00,0.0646,0.132,0.0885,0.286,32.48,59,76,,0.030788177,0.016949153,0.033333333,0.081070663,0.001988916,0.002237288,0.00295,0.007176204
16H00,0.0638,0.114,0.09,0.279,19.8,64.84,80,,0.050505051,0.015422579,0.033333333,0.099260962,0.003222222,0.001758174,0.003,0.007980396
17H00,0.0654,0.11,0.0908,0.086,4.4,64.6,85,,0.227272727,0.015479876,0.033333333,0.276085937,0.014863636,0.001702786,0.003026667,0.019593089
18H00,0.0662,0.0925,0.0915,0.059,0.4,76.52,88,,2.5,0.013068479,0.033333333,2.546401812,0.1655,0.001208834,0.00305,0.169758834
19H00,0,0.091,0.0908,0.05,0,70.12,90,,0,0.014261266,0.033333333,0.0475946,0,0.001297775,0.003026667,0.004324442
20H00,0,0.083,0.0885,0.061,0,75.8,87,,0,0.013192612,0.033333333,0.046525945,0,0.001094987,0.00295,0.004044987
21H00,0,0.033,0.0862,0.181,0,76.16,78,,0,0.013130252,0.033333333,0.046463585,0,0.000433298,0.002873333,0.003306632
22H00,0,0.025,0.0846,0.077,0,76.44,71,,0,0.013082156,0.033333333,0.046415489,0,0.000327054,0.00282,0.003147054
23H00,0,0.021,0.0838,0.043,0,79.72,65,,0,0.012543904,0.033333333,0.045877237,0,0.000263422,0.002793333,0.003056755
24H00,0,0.017,0.0831,0.037,0,76.6,56,,,0.01305483,0.033333333,0.046388164,,,,
