Hour,Non_shiftable,Shiftable,PV_setpoint,WT_setpoint,MT_setpoint
01H00,47,5,0,46,6
02H00,40,10,0,44,6
03H00,45,5,0,44,6
04H00,49,2,0,45,6
05H00,46,10,0,50,6
06H00,55,8,0,33,30
07H00,60,10,0,40,30
08H00,63,12,0.4,44.6,30
09H00,61,15,2.36,43.64,30
10H00,60,20,7.92,42.08,30
11H00,53,25,31,17,30
12H00,49,25,39.2,4.8,30
13H00,52,20,42.6,0,29.4
14H00,62,10,38.8,3.2,30
15H00,61,15,32.48,13.52,30
16H00,65,15,19.8,30.2,30
17H00,60,25,4.4,50.6,30
18H00,65,23,0.4,57.6,30
19H00,80,10,0,60,30
20H00,72,15,0,75.8,11.2
21H00,68,10,0,72,6
22H00,63,8,0,65,6
23H00,60,5,0,59,6
24H00,48,8,0,50,6
